"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02480V03003","Type of Offence","UNIT","VALUE"
"CJA01","Recorded crime incidents","2003","2003","01","Homicide offences","Number","100"
"CJA01","Recorded crime incidents","2003","2003","0111","Murder","Number","35"
"CJA01","Recorded crime incidents","2003","2003","0112","Manslaughter","Number","16"
"CJA01","Recorded crime incidents","2003","2003","0113","Infanticide","Number","0"
"CJA01","Recorded crime incidents","2003","2003","012","Dangerous driving leading to death","Number","49"
"CJA01","Recorded crime incidents","2003","2003","02","Sexual offences","Number","1572"
"CJA01","Recorded crime incidents","2003","2003","0211","Rape of a male or female","Number","325"
"CJA01","Recorded crime incidents","2003","2003","0212","Defilement of a boy or girl less than 17 years old","Number","112"
"CJA01","Recorded crime incidents","2003","2003","0213","Sexual offence involving mentally impaired person","Number","23"
"CJA01","Recorded crime incidents","2003","2003","0214","Aggravated sexual assault","Number","11"
"CJA01","Recorded crime incidents","2003","2003","0215","Sexual assault (not aggravated)","Number","1000"
"CJA01","Recorded crime incidents","2003","2003","022","Other sexual offences","Number","101"
"CJA01","Recorded crime incidents","2003","2003","03","Attempts/threats to murder, assaults, harassments and related offences","Number","13536"
"CJA01","Recorded crime incidents","2003","2003","0311","Murder-attempt","Number","5"
"CJA01","Recorded crime incidents","2003","2003","0313","Threat to kill or cause serious harm","Number","42"
"CJA01","Recorded crime incidents","2003","2003","033","Harassment and related offences","Number","1064"
"CJA01","Recorded crime incidents","2003","2003","034","Assault causing harm, poisoning","Number","3941"
"CJA01","Recorded crime incidents","2003","2003","035","Other assault","Number","8484"
"CJA01","Recorded crime incidents","2003","2003","04","Dangerous or negligent acts","Number","11962"
"CJA01","Recorded crime incidents","2003","2003","0411","Dangerous driving causing serious bodily harm","Number","20"
"CJA01","Recorded crime incidents","2003","2003","0412","Driving/in charge of a vehicle while over legal alcohol limit","Number","11481"
"CJA01","Recorded crime incidents","2003","2003","0413","Driving/in charge of a vehicle under the influence of drugs","Number","77"
"CJA01","Recorded crime incidents","2003","2003","0421","Endangerment with potential for serious harm/death","Number","51"
"CJA01","Recorded crime incidents","2003","2003","0422","Abandoning a child, child neglect and cruelty","Number","178"
"CJA01","Recorded crime incidents","2003","2003","0423","Unseaworthy/dangerous use of boat or ship","Number","0"
"CJA01","Recorded crime incidents","2003","2003","0424","False alarm/interference with aircraft or air transport facilities","Number","12"
"CJA01","Recorded crime incidents","2003","2003","0425","Endangering traffic offences","Number","143"
"CJA01","Recorded crime incidents","2003","2003","05","Kidnapping and related offences","Number","97"
"CJA01","Recorded crime incidents","2003","2003","0511","False imprisonment","Number","73"
"CJA01","Recorded crime incidents","2003","2003","0512","Abduction of person under 16 years of age","Number","24"
"CJA01","Recorded crime incidents","2003","2003","0513","Human trafficking offences","Number","0"
"CJA01","Recorded crime incidents","2003","2003","06","Robbery, extortion and hijacking offences","Number","2911"
"CJA01","Recorded crime incidents","2003","2003","0611","Robbery of an establishment or institution","Number","1030"
"CJA01","Recorded crime incidents","2003","2003","0612","Robbery of cash or goods in transit","Number","53"
"CJA01","Recorded crime incidents","2003","2003","0613","Robbery from the person","Number","1716"
"CJA01","Recorded crime incidents","2003","2003","0621","Blackmail or extortion","Number","21"
"CJA01","Recorded crime incidents","2003","2003","0631","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","91"
"CJA01","Recorded crime incidents","2003","2003","07","Burglary and related offences","Number","25755"
"CJA01","Recorded crime incidents","2003","2003","0711","Aggravated burglary","Number","327"
"CJA01","Recorded crime incidents","2003","2003","0712","Burglary (not aggravated)","Number","25207"
"CJA01","Recorded crime incidents","2003","2003","0713","Possession of an article (with intent to burgle, steal, demand)","Number","221"
"CJA01","Recorded crime incidents","2003","2003","08","Theft and related offences","Number","73422"
"CJA01","Recorded crime incidents","2003","2003","081","Theft/taking of vehicle and related offences","Number","13146"
"CJA01","Recorded crime incidents","2003","2003","0821","Theft from person","Number","6662"
"CJA01","Recorded crime incidents","2003","2003","0822","Theft from shop","Number","15692"
"CJA01","Recorded crime incidents","2003","2003","084","Other thefts, handling stolen property","Number","37922"
"CJA01","Recorded crime incidents","2003","2003","09","Fraud, deception and related offences","Number","3637"
"CJA01","Recorded crime incidents","2003","2003","10","Controlled drug offences","Number","9295"
"CJA01","Recorded crime incidents","2003","2003","1011","Importation of drugs","Number","36"
"CJA01","Recorded crime incidents","2003","2003","1012","Cultivation or manufacture of drugs","Number","72"
"CJA01","Recorded crime incidents","2003","2003","1021","Possession of drugs for sale or supply","Number","2308"
"CJA01","Recorded crime incidents","2003","2003","1022","Possession of drugs for personal use","Number","6506"
"CJA01","Recorded crime incidents","2003","2003","103","Other drug offences","Number","373"
"CJA01","Recorded crime incidents","2003","2003","11","Weapons and Explosives Offences","Number","1914"
"CJA01","Recorded crime incidents","2003","2003","111","Explosives, chemical weapons offences","Number","52"
"CJA01","Recorded crime incidents","2003","2003","1121","Discharging a firearm","Number","210"
"CJA01","Recorded crime incidents","2003","2003","1122","Possession of a firearm","Number","369"
"CJA01","Recorded crime incidents","2003","2003","113","Offensive weapons offences (n.e.c.)","Number","1283"
"CJA01","Recorded crime incidents","2003","2003","114","Fireworks offences","Number","0"
"CJA01","Recorded crime incidents","2003","2003","12","Damage to property and to the environment","Number","34023"
"CJA01","Recorded crime incidents","2003","2003","1211","Arson","Number","1418"
"CJA01","Recorded crime incidents","2003","2003","1212","Criminal damage (not arson)","Number","32518"
"CJA01","Recorded crime incidents","2003","2003","1221","Litter offences","Number","87"
"CJA01","Recorded crime incidents","2003","2003","13","Public order and other social code offences","Number","45142"
"CJA01","Recorded crime incidents","2003","2003","131","Disorderly conduct","Number","37665"
"CJA01","Recorded crime incidents","2003","2003","132","Trespass offences","Number","1439"
"CJA01","Recorded crime incidents","2003","2003","133","Liquor licensing offences","Number","4342"
"CJA01","Recorded crime incidents","2003","2003","134","Prostitution offences","Number","196"
"CJA01","Recorded crime incidents","2003","2003","135","Regulated betting/money, collection/trading offences","Number","304"
"CJA01","Recorded crime incidents","2003","2003","136","Social code offences (n.e.c.)","Number","1196"
"CJA01","Recorded crime incidents","2003","2003","15","Offences against government, justice procedures and organisation of crime","Number","6837"
"CJA01","Recorded crime incidents","2003","2003","151","Offences against government and its agents","Number","198"
"CJA01","Recorded crime incidents","2003","2003","152","Organisation of crime and conspiracy to commit crime","Number","11"
"CJA01","Recorded crime incidents","2003","2003","153","Perverting the course of justice","Number","247"
"CJA01","Recorded crime incidents","2003","2003","157","Offences while in custody, breach of court orders","Number","6381"
"CJA01","Recorded crime incidents","2004","2004","01","Homicide offences","Number","124"
"CJA01","Recorded crime incidents","2004","2004","0111","Murder","Number","29"
"CJA01","Recorded crime incidents","2004","2004","0112","Manslaughter","Number","16"
"CJA01","Recorded crime incidents","2004","2004","0113","Infanticide","Number","0"
"CJA01","Recorded crime incidents","2004","2004","012","Dangerous driving leading to death","Number","79"
"CJA01","Recorded crime incidents","2004","2004","02","Sexual offences","Number","1478"
"CJA01","Recorded crime incidents","2004","2004","0211","Rape of a male or female","Number","410"
"CJA01","Recorded crime incidents","2004","2004","0212","Defilement of a boy or girl less than 17 years old","Number","113"
"CJA01","Recorded crime incidents","2004","2004","0213","Sexual offence involving mentally impaired person","Number","14"
"CJA01","Recorded crime incidents","2004","2004","0214","Aggravated sexual assault","Number","14"
"CJA01","Recorded crime incidents","2004","2004","0215","Sexual assault (not aggravated)","Number","864"
"CJA01","Recorded crime incidents","2004","2004","022","Other sexual offences","Number","63"
"CJA01","Recorded crime incidents","2004","2004","03","Attempts/threats to murder, assaults, harassments and related offences","Number","13272"
"CJA01","Recorded crime incidents","2004","2004","0311","Murder-attempt","Number","1"
"CJA01","Recorded crime incidents","2004","2004","0313","Threat to kill or cause serious harm","Number","47"
"CJA01","Recorded crime incidents","2004","2004","033","Harassment and related offences","Number","976"
"CJA01","Recorded crime incidents","2004","2004","034","Assault causing harm, poisoning","Number","3889"
"CJA01","Recorded crime incidents","2004","2004","035","Other assault","Number","8359"
"CJA01","Recorded crime incidents","2004","2004","04","Dangerous or negligent acts","Number","12669"
"CJA01","Recorded crime incidents","2004","2004","0411","Dangerous driving causing serious bodily harm","Number","29"
"CJA01","Recorded crime incidents","2004","2004","0412","Driving/in charge of a vehicle while over legal alcohol limit","Number","12156"
"CJA01","Recorded crime incidents","2004","2004","0413","Driving/in charge of a vehicle under the influence of drugs","Number","76"
