Location,Value
Sierra Leone,0.32
South Sudan,0.33
Niger,0.38
Ethiopia,0.51
Chad,0.53
Papua New Guinea,0.61
Benin,0.62
Eritrea,0.71
Gambia,0.75
Togo,0.76
Mozambique,0.85
Senegal,0.9
Burkina Faso,0.91
Ghana,1.03
Rwanda,1.16
Liberia,1.47
Vanuatu,1.58
Cote d'Ivoire,1.6
Democratic Republic of the Congo,1.67
Tonga,10.19
Bolivia (Plurinational State of),10.78
Pakistan,10.84
Sri Lanka,11.37
Tunisia,12.8
Cook Islands,13.45
Dominican Republic,14.33
Panama,16.38
Albania,16.51
Tokelau,16.67
Türkiye,19.26
Mauritania,2.05
Afghanistan,2.14
Cambodia,2.14
Zambia,2.39
Malaysia,20.6
Tajikistan,20.64
Oman,20.86
Seychelles,21.07
Maldives,21.61
Turkmenistan,21.62
Kyrgyzstan,21.68
China,22.58
Brazil,23.03
Colombia,23.04
Bosnia and Herzegovina,23.18
Ecuador,23.2
Costa Rica,23.36
Singapore,24.34
Canada,24.35
Republic of Korea,24.57
Mexico,24.74
Jordan,25.13
Mauritius,25.38
Lebanon,26.17
Saudi Arabia,26.33
Chile,26.49
Montenegro,27.09
United Arab Emirates,27.59
Uzbekistan,27.88
United Kingdom of Great Britain and Northern Ireland,29.42
Bhutan,3.35
Lao People's Democratic Republic,3.64
Nigeria,3.67
Namibia,3.68
Botswana,3.68
North Macedonia,30.59
Cyprus,30.66
Azerbaijan,31.11
Armenia,31.17
Belgium,31.57
Romania,31.62
Slovenia,32.24
Poland,32.56
Latvia,32.62
France,33.1
Republic of Moldova,33.27
Ireland,33.43
New Zealand,33.9
Estonia,34.69
Hungary,34.93
United States of America,35.18
Israel,35.41
Finland,35.67
Slovakia,35.67
Mongolia,36.47
Netherlands (Kingdom of the),37.51
Australia,38.27
Iceland,38.91
Kazakhstan,39.48
Indonesia,4.67
Sao Tome and Principe,4.89
Malta,40.29
Italy,40.51
Trinidad and Tobago,41.08
Czechia,41.19
Russian Federation,41.87
Bulgaria,41.9
Denmark,42.65
Sweden,42.91
Switzerland,43.49
Germany,43.94
Spain,44.04
Belarus,44.34
Lithuania,44.81
Norway,49.68
Austria,52.91
Portugal,54.5
Gabon,6.1
Bangladesh,6.27
Greece,62.47
Croatia,69.31
Egypt,7.09
Philippines,7.35
Myanmar,7.51
Timor-Leste,7.76
South Africa,7.99
Georgia,75.03
Nepal,8.03
Iraq,8.73
Thailand,8.97
Cuba,85.89
Monaco,88.65
Algeria,9.87
