GEO_NAME_SHORT,AMOUNT_N
Djibouti,65.81
Syrian Arab Republic,72.67
Sao Tome and Principe,70.42
Samoa,70.45
Gambia,65.47
France,82.48
Sweden,82.4
Mauritius,74.07
Latvia,75.38
Russian Federation,73.23
Malawi,65.62
Denmark,81.32
Uruguay,77.1
Georgia,73.28
Panama,79.29
Sri Lanka,76.87
India,70.79
Paraguay,75.81
Turkmenistan,69.75
Slovakia,78.23
China,77.43
Solomon Islands,65.25
Guyana,65.69
Kyrgyzstan,74.18
Malaysia,74.72
Spain,83.22
Ireland,81.84
Tonga,72.57
Portugal,81.57
Liberia,64.08
Colombia,79.31
Uzbekistan,73.01
Serbia,75.87
Ukraine,73.02
Vanuatu,65.31
Jordan,77.87
Montenegro,75.88
Ecuador,78.45
Singapore,83.22
Philippines,70.43
Bangladesh,74.25
Mozambique,58.14
Estonia,78.88
Barbados,76.03
Togo,64.27
Zambia,62.45
Austria,81.65
Madagascar,65.35
Lesotho,50.75
Somalia,56.47
Afghanistan,63.21
Germany,81.72
Nepal,70.88
Tajikistan,69.5
Viet Nam,73.74
Slovenia,81.31
Cuba,77.76
Uganda,66.69
Armenia,76.03
Netherlands (Kingdom of the),81.79
Angola,63.06
Peru,79.9
Azerbaijan,71.43
Niger,63.29
Malta,81.89
Kenya,66.09
Zimbabwe,60.68
Jamaica,75.98
Ethiopia,68.7
Saint Vincent and the Grenadines,73.22
Costa Rica,80.85
Romania,75.57
Belarus,74.81
Lithuania,75.99
Indonesia,71.31
Poland,78.27
Botswana,62.25
Australia,83.04
Finland,81.61
Saudi Arabia,74.31
Seychelles,73.34
Mali,62.8
Mauritania,68.38
Iran (Islamic Republic of),77.35
Nicaragua,75.04
Kiribati,59.42
Yemen,66.63
Belgium,81.42
Japan,84.26
Norway,82.62
Bahrain,75.81
Albania,78.0
Fiji,68.01
Mexico,76.01
Democratic Republic of the Congo,62.35
Gabon,66.47
Sierra Leone,60.77
Côte d'Ivoire,62.92
Tunisia,77.04
Rwanda,69.1
Senegal,68.58
Pakistan,65.61
Egypt,71.82
Venezuela (Bolivarian Republic of),73.95
Congo,64.74
South Sudan,62.79
Mongolia,68.1
Czechia,79.13
South Africa,65.25
Burundi,63.84
Myanmar,69.13
Kuwait,80.97
Cyprus,83.14
Cabo Verde,74.03
Burkina Faso,62.7
Benin,63.43
Dominican Republic,72.84
Antigua and Barbuda,76.45
Luxembourg,82.41
Guatemala,72.02
Lebanon,76.44
Republic of Korea,83.3
El Salvador,75.03
Thailand,77.7
Libya,75.78
Honduras,71.94
Chad,59.63
Cameroon,62.36
Iceland,82.33
United Arab Emirates,76.08
Grenada,72.88
Equatorial Guinea,62.19
Guinea-Bissau,60.22
Trinidad and Tobago,76.13
Hungary,76.44
Central African Republic,53.1
United Republic of Tanzania,67.34
Timor-Leste,69.62
Bulgaria,75.07
Nigeria,62.62
Haiti,64.05
Qatar,77.17
Bahamas,73.21
Kazakhstan,73.95
Eswatini,57.73
Bosnia and Herzegovina,76.75
Croatia,78.64
Saint Lucia,74.33
Chile,80.74
Greece,81.1
Republic of Moldova,73.26
Democratic People's Republic of Korea,72.63
United Kingdom of Great Britain and Northern Ireland,81.4
Belize,74.41
Canada,82.24
Iraq,72.42
Bolivia (Plurinational State of),72.14
Italy,82.97
Sudan,69.15
Namibia,64.58
New Zealand,81.96
Israel,82.62
United States of America,78.5
Micronesia (Federated States of),63.03
North Macedonia,74.82
Guinea,61.01
Suriname,71.48
Comoros,67.39
Argentina,76.58
Eritrea,64.08
Cambodia,70.12
Algeria,77.13
Lao People's Democratic Republic,68.51
Ghana,66.28
Brazil,75.9
Türkiye,78.62
Switzerland,83.45
Brunei Darussalam,74.32
Papua New Guinea,65.3
Oman,73.9
Bhutan,73.11
Morocco,72.99
Maldives,79.59
